               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10376,            0.043677,            0.035836,            0.025779,            0.053853,            0.012794,           0.0024936,            0.082651,            0.045206,            0.030868,             0.00076,             0.00076,             0.09316
                   1,            0.076104,            0.043117,            0.030847,             0.14422,             0.37186,             0.19178,            0.051177,            0.060486,            0.033045,            0.027091,             0.00153,             0.00153,             0.08623
                   2,            0.069282,            0.034578,            0.026441,             0.36334,             0.46198,             0.36036,             0.11034,            0.057375,            0.028072,            0.020332,           0.0022998,           0.0022998,              0.0793
                   3,            0.063738,             0.03072,            0.020789,             0.36967,             0.59929,             0.42147,             0.12022,            0.056712,            0.025423,             0.01498,           0.0030694,           0.0030694,            0.072369
                   4,            0.060347,            0.029163,             0.01723,              0.5868,             0.66097,             0.62193,             0.23554,            0.048349,            0.024319,             0.01362,           0.0038387,           0.0038387,            0.065439
                   5,            0.056514,            0.028562,            0.015015,             0.56536,             0.64888,             0.57966,             0.21029,            0.047651,            0.023979,            0.012567,           0.0046075,           0.0046075,            0.058507
                   6,            0.056562,            0.028099,            0.014368,             0.56492,              0.5512,             0.55913,             0.20813,            0.049292,            0.023416,            0.012452,           0.0053758,           0.0053758,            0.051576
                   7,            0.057028,            0.028274,            0.013822,             0.69071,             0.63352,             0.67686,             0.24293,            0.049246,            0.023069,            0.010958,           0.0061434,           0.0061434,            0.044643
                   8,            0.055642,            0.027343,            0.012501,              0.7137,             0.66425,             0.67882,             0.24027,            0.048216,            0.023093,            0.010335,           0.0069103,           0.0069103,             0.03771
                   9,              0.0502,            0.026192,            0.011658,             0.68049,             0.67541,             0.68686,             0.26111,            0.047206,            0.023232,            0.011912,           0.0076763,           0.0076763,            0.030776
                  10,            0.052257,            0.026888,            0.010367,              0.6119,             0.68495,             0.60283,             0.20258,            0.049797,            0.023032,           0.0090424,           0.0084415,           0.0084415,            0.023841
                  11,            0.052861,            0.026079,            0.010008,             0.66506,             0.61688,             0.63123,             0.21672,            0.051922,            0.023313,            0.011079,           0.0092055,           0.0092055,            0.016906
                  12,            0.051012,            0.028091,            0.010177,             0.70218,             0.61414,             0.62874,             0.23237,            0.048015,            0.023537,            0.011394,           0.0099685,           0.0099685,           0.0099685
                  13,            0.049963,            0.025822,           0.0096503,             0.71205,             0.56884,             0.63989,             0.24918,            0.044843,            0.024077,            0.014374,           0.0099685,           0.0099685,           0.0099685
                  14,            0.046263,              0.0264,           0.0088479,             0.61364,             0.58092,             0.58038,             0.20919,            0.048278,            0.025275,            0.013844,            0.009963,            0.009963,            0.009963
                  15,            0.046127,            0.025636,           0.0091778,             0.75077,             0.73811,             0.75075,             0.30253,            0.043194,            0.023491,            0.010048,           0.0099571,           0.0099571,           0.0099571
                  16,            0.044376,            0.024827,            0.007775,             0.77463,             0.73425,               0.776,             0.31446,            0.043152,            0.023513,           0.0083853,           0.0099508,           0.0099508,           0.0099508
                  17,            0.044093,            0.026159,            0.007059,             0.76948,             0.74705,             0.78634,             0.33051,            0.042795,             0.02345,            0.008789,            0.009944,            0.009944,            0.009944
                  18,            0.042818,            0.025827,           0.0073142,             0.84319,             0.71456,             0.78641,             0.31936,             0.04327,            0.023287,           0.0094878,           0.0099368,           0.0099368,           0.0099368
                  19,            0.043725,            0.025825,            0.006845,             0.76688,             0.71837,             0.75461,             0.30429,            0.042654,            0.023082,            0.010287,           0.0099291,           0.0099291,           0.0099291
                  20,            0.043246,            0.026455,           0.0062883,             0.75313,             0.76531,             0.78195,             0.32137,            0.043475,            0.022919,           0.0086162,           0.0099211,           0.0099211,           0.0099211
                  21,            0.042383,            0.024544,           0.0064031,             0.80807,             0.73942,             0.79577,               0.318,            0.042492,            0.022903,           0.0087773,           0.0099126,           0.0099126,           0.0099126
                  22,            0.041894,            0.025266,           0.0060213,              0.8104,             0.67646,             0.75377,             0.28362,             0.04448,            0.023768,           0.0090017,           0.0099037,           0.0099037,           0.0099037
                  23,            0.042759,            0.026763,           0.0055124,             0.75253,             0.76559,              0.7651,             0.31582,            0.042575,             0.02417,           0.0084354,           0.0098943,           0.0098943,           0.0098943
                  24,            0.040555,            0.024953,           0.0055426,             0.73971,             0.72639,             0.75733,             0.31648,             0.04239,            0.023384,             0.01152,           0.0098845,           0.0098845,           0.0098845
                  25,            0.041433,            0.025281,            0.005389,             0.77803,             0.73125,             0.77748,             0.33656,            0.041959,            0.023405,           0.0097531,           0.0098743,           0.0098743,           0.0098743
                  26,            0.041528,            0.024594,           0.0051355,             0.80549,             0.75556,             0.79333,             0.33435,            0.043166,            0.023088,           0.0076049,           0.0098637,           0.0098637,           0.0098637
                  27,            0.040604,            0.024197,           0.0052997,             0.79238,              0.7279,             0.76316,             0.31373,            0.042598,            0.023912,             0.00986,           0.0098527,           0.0098527,           0.0098527
                  28,            0.040784,            0.024346,           0.0057148,             0.83563,             0.74221,              0.7925,             0.31977,            0.042891,              0.0236,            0.009261,           0.0098412,           0.0098412,           0.0098412
                  29,            0.039719,            0.024999,           0.0049911,             0.79573,             0.77799,              0.7884,             0.32971,            0.042129,            0.023044,           0.0085269,           0.0098293,           0.0098293,           0.0098293
